text                                                                   , label
Show me available spots                                                , 0
anywhere I can park?                                                   , 0
What's open?                                                           , 0
List all open parking                                                  , 0
Got any room?                                                          , 0
I need to park my car                                                  , 0
Are there any free slots?                                              , 0
Find me an empty spot                                                  , 0
Show me unoccupied slots                                               , 0
Is there any availability?                                             , 0
How many spots are left?                                               , 0
just show me the free ones                                             , 0
what's vacant                                                          , 0
park car where                                                         , 0
anythin open                                                           , 0
Can I see the free spots?                                              , 0
Where can I put my car?                                                , 0
What parking is available?                                             , 0
Is there room for one more?                                            , 0
List empty slots                                                       , 0
Show me a place to park                                                , 0
I need a spot now                                                      , 0
What's free right now?                                                 , 0
Are there any open parking bays?                                       , 0
Tell me what's unoccupied                                              , 0
Where are the empty ones?                                              , 0
I'm looking for parking                                                , 0
Got a spot for me?                                                     , 0
What's not taken?                                                      , 0
Show me the green slots                                                , 0
Is the lot full?                                                       , 0
How many spots are free?                                               , 0
Find me a slot that's empty                                            , 0
vacant spots list                                                      , 0
parking availability                                                   , 0
where can i park                                                       , 0
gimme a free spot                                                      , 0
need parking                                                           , 0
open parking plz                                                       , 0
what is open                                                           , 0
available parking now                                                  , 0
where can i put my car                                                 , 0
is there any parking                                                   , 0
i need a place                                                         , 0
show me the available ones                                             , 0
list all free                                                          , 0
free spaces                                                            , 0
check for free spots                                                   , 0
any empty spaces                                                       , 0
what parking is open                                                   , 0
show me open parking                                                   , 0
what's not occupied                                                    , 0
unoccupied slots                                                       , 0
empty parking                                                          , 0
is there space                                                         , 0
show me what i can park in                                             , 0
can i park somewhere                                                   , 0
need to park                                                           , 0
looking for a spot                                                     , 0
available parking list                                                 , 0
free parking spots                                                     , 0
what is available                                                      , 0
show me slots that are open                                            , 0
any free parking                                                       , 0
where is an empty slot                                                 , 0
list of open spots                                                     , 0
show me the empty spots                                                , 0
are there any spots left                                               , 0
can i park my car                                                      , 0
i need to park my car now                                              , 0
is there any free parking                                              , 0
what slots are free                                                    , 0
where are the open spots                                               , 0
any available spots                                                    , 0
find me parking                                                        , 0
find me a free slot                                                    , 0
parking spots                                                          , 0
open slots list                                                        , 0
can i park                                                             , 0
i need a spot                                                          , 0
show me the spots                                                      , 0
what's open now                                                        , 0
is there any room                                                      , 0
i need parking fast                                                    , 0
where to park                                                          , 0
available spots                                                        , 0
show me parking                                                        , 0
show me where to park                                                  , 0
list free parking                                                      , 0
unoccupied parking                                                     , 0
gimme a spot to park                                                   , 0
whats free                                                             , 0
find open slot                                                         , 0
How many cars are parked?                                              , 1
Is the garage full?                                                    , 1
Show me filled parking slots                                           , 1
Which spots are taken?                                                 , 1
List all occupied spots                                                , 1
show me what's booked                                                  , 1
who is parked right now                                                , 1
can I see the busy slots                                               , 1
are there a lot of cars?                                               , 1
How many spots are used?                                               , 1
what's taken                                                           , 1
show taken                                                             , 1
full spots list                                                        , 1
Show me the occupied ones                                              , 1
Which slots are not free?                                              , 1
List of booked spots                                                   , 1
Who is in the garage?                                                  , 1
Show me the red slots                                                  , 1
What's already parked?                                                 , 1
I want to see the filled spots                                         , 1
Can I see what's unavailable?                                          , 1
list all taken                                                         , 1
show me the busy ones                                                  , 1
what is taken                                                          , 1
whos parked                                                            , 1
show me the used spots                                                 , 1
what's already booked                                                  , 1
i wanna see the full slots                                             , 1
are there many cars?                                                   , 1
list of occupied parking                                               , 1
show me the cars                                                       , 1
who's parked where                                                     , 1
what's not available                                                   , 1
what is not empty                                                      , 1
show me the full ones                                                  , 1
list the used spots                                                    , 1
which parking is taken                                                 , 1
show me all parked cars                                                , 1
what is booked                                                         , 1
filled slots                                                           , 1
show me the parked cars                                                , 1
list the parked cars                                                   , 1
what is occupied                                                       , 1
show me the unavailable slots                                          , 1
show me who is parked                                                  , 1
occupied spots                                                         , 1
list occupied                                                          , 1
who is parked                                                          , 1
show me the taken spots                                                , 1
what spots are taken                                                   , 1
how many spots are taken                                               , 1
what's occupied                                                        , 1
are there many spots taken?                                            , 1
show me the full spots                                                 , 1
list all filled                                                        , 1
what's already taken                                                   , 1
i want to see the cars                                                 , 1
show me the parked                                                     , 1
what's not free                                                        , 1
list the full spots                                                    , 1
which spots are full                                                   , 1
show me the list of taken                                              , 1
who is in the parking                                                  , 1
show me the busy parking                                               , 1
occupied parking                                                       , 1
what is unavailable                                                    , 1
list of used spots                                                     , 1
show me taken parking                                                  , 1
can i see the full list                                                , 1
who's in the spots                                                     , 1
what's filled                                                          , 1
show me the filled                                                     , 1
show me unavailable                                                    , 1
list all unavailable                                                   , 1
show me the used                                                       , 1
which spots are busy                                                   , 1
what's busy                                                            , 1
show me the list of cars                                               , 1
who is parked?                                                         , 1
show me the parked list                                                , 1
who is in the parking lot                                              , 1
list all cars                                                          , 1
show me all cars                                                       , 1
who is in what spot                                                    , 1
show me the car list                                                   , 1
show me the full parking                                               , 1
show me the occupied parking                                           , 1
what cars are there                                                    , 1
who is there                                                           , 1
show me the parked cars list                                           , 1
what's the parking situation                                           , 1
list parked                                                            , 1
list taken                                                             , 1
show me all taken                                                      , 1
show me all full                                                       , 1
book slot 10                                                           , 2
I want slot 5                                                          , 2
fill the slot which has no 10                                          , 2
use slot which has no 10                                               , 2
I'll take number 3                                                     , 2
Put me in 7                                                            , 2
Reserve 12                                                             , 2
Can I get slot 2?                                                      , 2
Gimme 9                                                                , 2
I need 6                                                               , 2
slot 8 plz                                                             , 2
i wanna park in 4                                                      , 2
assign me to 1                                                         , 2
I want the one labeled 15                                              , 2
I'll take 20                                                           , 2
book 1                                                                 , 2
I want number 11                                                       , 2
Can I have 14?                                                         , 2
I'd like to reserve 16                                                 , 2
Put my car in 18                                                       , 2
gimme slot 2                                                           , 2
i want 3                                                               , 2
bok slot 4                                                             , 2
reserve 5                                                              , 2
i'll take 6                                                            , 2
i want parking 7                                                       , 2
let me have 8                                                          , 2
i need slot 9                                                          , 2
i want to park in 10                                                   , 2
park me in 11                                                          , 2
i'll park in 12                                                        , 2
i want to take 13                                                      , 2
i want 14                                                              , 2
gimme 15                                                               , 2
i want 16                                                              , 2
i need 17                                                              , 2
i want 18                                                              , 2
i want 19                                                              , 2
i'll take 20                                                           , 2
i want 21                                                              , 2
i want 22                                                              , 2
i want 23                                                              , 2
i want 24                                                              , 2
i want 25                                                              , 2
slot 1 for me                                                          , 2
slot 2                                                                 , 2
slot 3                                                                 , 2
slot 4                                                                 , 2
slot 5                                                                 , 2
slot 6                                                                 , 2
slot 7                                                                 , 2
slot 8                                                                 , 2
slot 9                                                                 , 2
slot 10                                                                , 2
slot 11                                                                , 2
slot 12                                                                , 2
slot 13                                                                , 2
slot 14                                                                , 2
slot 15                                                                , 2
slot 16                                                                , 2
slot 17                                                                , 2
slot 18                                                                , 2
slot 19                                                                , 2
slot 20                                                                , 2
i want slot 1                                                          , 2
i want slot 2                                                          , 2
i want slot 3                                                          , 2
i want slot 4                                                          , 2
i want slot 5                                                          , 2
i want slot 6                                                          , 2
i want slot 7                                                          , 2
i want slot 8                                                          , 2
i want slot 9                                                          , 2
i want slot 10                                                         , 2
i want slot 11                                                         , 2
i want slot 12                                                         , 2
i want slot 13                                                         , 2
i want slot 14                                                         , 2
i want slot 15                                                         , 2
i want slot 16                                                         , 2
i want slot 17                                                         , 2
i want slot 18                                                         , 2
i want slot 19                                                         , 2
i want slot 20                                                         , 2
i want to book 1                                                       , 2
i want to book 2                                                       , 2
i want to book 3                                                       , 2
i want to book 4                                                       , 2
i want to book 5                                                       , 2
i want to book 6                                                       , 2
i want to book 7                                                       , 2
i want to book 8                                                       , 2
i want to book 9                                                       , 2
i want to book 10                                                      , 2
Book me a slot                                                         , 3
Find me a spot                                                         , 3
I need parking                                                         , 3
Just assign me one                                                     , 3
Get me the next available                                              , 3
Find me the closest open spot                                          , 3
gimme a spot                                                           , 3
book any                                                               , 3
I just need a place to park                                            , 3
find me something                                                      , 3
auto assign a spot                                                     , 3
Whatever is open                                                       , 3
Just get me a parking slot                                             , 3
I don't want to choose                                                 , 3
Assign me                                                              , 3
Find me parking                                                        , 3
Give me the first free one                                             , 3
Find me the next slot                                                  , 3
i need parking                                                         , 3
book me a spot plz                                                     , 3
just give me a spot                                                    , 3
find me a spot now                                                     , 3
i need a spot now                                                      , 3
book me any                                                            , 3
i need to park                                                         , 3
park me                                                                , 3
get me a spot                                                          , 3
find me an open spot                                                   , 3
gimme any spot                                                         , 3
i need a spot                                                          , 3
book a slot                                                            , 3
assign me a spot                                                       , 3
i need a parking spot                                                  , 3
find me a parking spot                                                 , 3
i need to park my car                                                  , 3
can you find me a spot?                                                , 3
just park my car                                                       , 3
get me any spot                                                        , 3
i need a parking space                                                 , 3
find me a space                                                        , 3
give me a parking spot                                                 , 3
i need parking quick                                                   , 3
book me a parking spot                                                 , 3
find me a spot to park                                                 , 3
find me a spot any                                                     , 3
i need to park fast                                                    , 3
i need to park any                                                     , 3
i need to park just find me                                            , 3
i need to park quick                                                   , 3
i need to park just assign                                             , 3
i need to park anything                                                , 3
i need a spot just book                                                , 3
i need to park don't care                                              , 3
i need a spot just find                                                , 3
i need to park just park me                                            , 3
i need parking just assign                                             , 3
i need parking anything                                                , 3
Release slot 10                                                        , 4
I am leaving slot 5                                                    , 4
Cancel 7                                                               , 4
Free up 3                                                              , 4
I'm done with 2                                                        , 4
My car is out of 9                                                     , 4
Check me out of 4                                                      , 4
Empty 1                                                                , 4
Okay I'm leaving slot 6 now                                            , 4
I'm finished with 8                                                    , 4
unbook 10                                                              , 4
vacate 5                                                               , 4
release 1                                                              , 4
I'm leaving 12                                                         , 4
I'm done with 11                                                       , 4
release my spot 14                                                     , 4
cancel 15                                                              , 4
free up 16                                                             , 4
i'm out of 17                                                          , 4
i'm leaving 18                                                         , 4
i'm done with 19                                                       , 4
vacate 20                                                              , 4
unbook 21                                                              , 4
i'm leaving 22                                                         , 4
i'm done with 23                                                       , 4
i'm leaving 24                                                         , 4
i'm done with 25                                                       , 4
i'm leaving slot 1                                                     , 4
i'm leaving slot 2                                                     , 4
i'm leaving slot 3                                                     , 4
i'm leaving slot 4                                                     , 4
i'm leaving slot 5                                                     , 4
i'm leaving slot 6                                                     , 4
i'm leaving slot 7                                                     , 4
i'm leaving slot 8                                                     , 4
i'm leaving slot 9                                                     , 4
i'm leaving slot 10                                                    , 4
i'm leaving slot 11                                                    , 4
i'm leaving slot 12                                                    , 4
i'm leaving slot 13                                                    , 4
i'm leaving slot 14                                                    , 4
i'm leaving slot 15                                                    , 4
i'm leaving slot 16                                                    , 4
i'm leaving slot 17                                                    , 4
i'm leaving slot 18                                                    , 4
i'm leaving slot 19                                                    , 4
i'm leaving slot 20                                                    , 4
i'm done with slot 1                                                   , 4
i'm done with slot 2                                                   , 4
i'm done with slot 3                                                   , 4
i'm done with slot 4                                                   , 4
i'm done with slot 5                                                   , 4
i'm done with slot 6                                                   , 4
i'm done with slot 7                                                   , 4
i'm done with slot 8                                                   , 4
i'm done with slot 9                                                   , 4
i'm done with slot 10                                                  , 4
i'm done with slot 11                                                  , 4
i'm done with slot 12                                                  , 4
i'm done with slot 13                                                  , 4
i'm done with slot 14                                                  , 4
i'm done with slot 15                                                  , 4
i'm done with slot 16                                                  , 4
i'm done with slot 17                                                  , 4
i'm done with slot 18                                                  , 4
i'm done with slot 19                                                  , 4
i'm done with slot 20                                                  , 4
release 1                                                              , 4
release 2                                                              , 4
release 3                                                              , 4
release 4                                                              , 4
release 5                                                              , 4
release 6                                                              , 4
release 7                                                              , 4
release 8                                                              , 4
release 9                                                              , 4
release 10                                                             , 4
release 11                                                             , 4
release 12                                                             , 4
release 13                                                             , 4
release 14                                                             , 4
release 15                                                             , 4
release 16                                                             , 4
release 17                                                             , 4
release 18                                                             , 4
release 19                                                             , 4
release 20                                                             , 4
i'm leaving 1                                                          , 4
i'm leaving 2                                                          , 4
i'm leaving 3                                                          , 4
i'm leaving 4                                                          , 4
i'm leaving 5                                                          , 4
i'm leaving 6                                                          , 4
i'm leaving 7                                                          , 4
i'm leaving 8                                                          , 4
i'm leaving 9                                                          , 4
i'm leaving 10                                                         , 4
Status for slot 10                                                     , 5
Check slot 5                                                           , 5
Is 7 free?                                                             , 5
Is 3 taken?                                                            , 5
What's up with 9?                                                      , 5
Can I park in 2?                                                       , 5
Tell me about 12                                                       , 5
Info on 8                                                              , 5
Hey is anyone in 4?                                                    , 5
What's the deal with 1?                                                , 5
status 10                                                              , 5
check 5                                                                , 5
is 2 open                                                              , 5
slot 6 status                                                          , 5
